host,url,status,size
ts8-1.westwood.ts.ucla.edu,/images/Nasa-logo.gif,404,0
ts8-1.westwood.ts.ucla.edu,/images/Nasa-logo.gif,404,0
ts8-1.westwood.ts.ucla.edu,/images/Nasa-logo.gif,404,0
ts8-1.westwood.ts.ucla.edu,/images/Nasa-logo.gif,404,0
ts8-1.westwood.ts.ucla.edu,/images/Nasa-logo.gif,404,0
ts8-1.westwood.ts.ucla.edu,/images/Nasa-logo.gif,404,0
ts8-1.westwood.ts.ucla.edu,/images/Nasa-logo.gif,404,0
ts8-1.westwood.ts.ucla.edu,/images/Nasa-logo.gif,404,0
ts8-1.westwood.ts.ucla.edu,/images/Nasa-logo.gif,404,0
ottgate2.bnr.ca,/images/Nasa-logo.gif,404,0
dimasu1.ffi.no,/elv/DELTA/uncons.htm,404,0
dppp16.netpoint.net,/images/Nasa-logo.gif,404,0
slip167.slip.uleth.ca,/images/Nasa-logo.gif,404,0
slip167.slip.uleth.ca,/images/Nasa-logo.gif,404,0
slip167.slip.uleth.ca,/images/Nasa-logo.gif,404,0
www-relay.pa-x.dec.com,/images/Nasa-logo.gif,404,0
slip167.slip.uleth.ca,/images/Nasa-logo.gif,404,0
slip167.slip.uleth.ca,/images/Nasa-logo.gif,404,0
mgatsby.earthlink.net,/images/Nasa-logo.gif,404,0
slip167.slip.uleth.ca,/images/Nasa-logo.gif,404,0
ts01-ind-21.iquest.net,/pub/winvn/readme.txt,404,0
f8igw1.jer.intel.com,/history/apollo/images/little-joe.jpg,404,0
147.150.41.66,/nasa/nasa_hottopics.html,404,0
147.150.41.66,/nasa/nasa_hottopics.html,404,0
dd10-035.compuserve.com,/people/nasa-cm/jmd.html,404,0
tremaine.cc.uec.ac.jp,/elv/DELTA/uncons.htm,404,0
204.62.245.32,/persons/astronauts/thagar.html,404,0
eul64.metronet.com,/pub/winvn/readme.txt,404,0
eul64.metronet.com,/pub/winvn/release.txt,404,0
pcdis.rrzn.uni-hannover.de,/shuttle/resources/orbiters/discovery.gif,404,0
153.73.3.98,/IUMA/lib/IUMA-title.gif,404,0
153.73.3.98,/IUMA/lib/htu_button.gif,404,0
204.62.245.32,/shuttle/missions/sts-63/sts-63-press-kit.tx,404,0
dmcglew.gsfc.nasa.gov,/elv/DELTA/uncons.htm,404,0
spc.tiac.net,/pub/winvn/readme.txt,404,0
spc.tiac.net,/pub/winvn/release.txt,404,0
198.5.176.180,/shuttle/technology/sts_newsreflsts_ovcomm.html,404,0
198.5.176.180,/shuttle/technology/sts_newsreflsts_ovcomm.html,404,0
dick.larc.nasa.gov,/l,404,0
165.212.158.111,/ksc/html,404,0
edams.ksc.nasa.gov,/\yahoo.com,404,0
192.112.239.3,/MDSS/,404,0
153.78.100.30,/M/on-this-day,404,0
153.78.100.30,/M/on-this-day,404,0
153.78.100.30,/M/on-this-day,404,0
153.78.100.30,/M/on-this-day,404,0
153.78.100.30,/M/on-this-day,404,0
153.78.100.30,/M/on-this-day,404,0
jarrett-mac.mac.cc.cmu.edu,/history/apollo/sa-1/sa-1-patch-small.gif,404,0
jarrett-mac.mac.cc.cmu.edu,/history/apollo/sa-1/images/,404,0
jarrett-mac.mac.cc.cmu.edu,/history/apollo/sa-1/sa-1-patch-small.gif,404,0
jarrett-mac.mac.cc.cmu.edu,/history/apollo/sa-1/movies/,404,0
jarrett-mac.mac.cc.cmu.edu,/history/apollo/sa-1/docs/,404,0
jarrett-mac.mac.cc.cmu.edu,/history/apollo/sa-1/sa-1-patch-small.gif,404,0
jarrett-mac.mac.cc.cmu.edu,/history/apollo/sa-9/sa-9-patch-small.gif,404,0
jarrett-mac.mac.cc.cmu.edu,/history/apollo/sa-9/images/,404,0
jarrett-mac.mac.cc.cmu.edu,/history/apollo/sa-9/sa-9-patch-small.gif,404,0
jarrett-mac.mac.cc.cmu.edu,/history/apollo/sa-9/news/,404,0
jarrett-mac.mac.cc.cmu.edu,/history/apollo/sa-9/sa-9-patch-small.gif,404,0
chrism.tmx.com.au,/pub/winvn/readme.txt,404,0
chrism.tmx.com.au,/pub/winvn/release.txt,404,0
firewall.deere.com,/pub/winvn/readme.txt,404,0
firewall.deere.com,/pub/winvn/release.txt,404,0
zang.slip.lm.com,/shuttle/missions/technology/sts-newsref/stsref-toc.html,404,0
gikai.eng.nhk.or.jp,/elv/DELTA/uncons.htm,404,0
gikai.eng.nhk.or.jp,/elv/DELTA/uncons.htm,404,0
n1121986.ksc.nasa.gov,/nws/public,404,0
orchid.gsfc.nasa.gov,/missions/missions.html,404,0
alta.atk.com,/elv/DELTA/uncons.htm,404,0
alta.atk.com,/elv/DELTA/uncons.htm,404,0
huge.oso.chalmers.se,/elv/new01.gif,404,0
163.205.156.16,/elv/new01.gif,404,0
cpq63-rz.uibk.ac.at,/pub/winvn/readme.txt,404,0
zang.slip.lm.com,/shuttle/technology/images/sts-comm-small.gif,404,0
zang.slip.lm.com,/shuttle/technology/images/sts-comm-small.gif,404,0
zang.slip.lm.com,/shuttle/technology/images/sts-comm.jpg,404,0
zang.slip.lm.com,/shuttle/technology/images/sts-comm-small.gif,404,0
urania.harvard.edu,/shuttle/technology/sts-newsref/spacelab,404,0
bond.mc.duke.edu,/pub/winvn/release.txt,404,0
128.158.42.193,/pub,404,0
128.158.42.193,/pub,404,0
128.158.42.193,/pub,404,0
mcneill.earthlink.net,/pub/winvn/readme.txt,404,0
ghall2.dentistry.dal.ca,/pub/winvn/release.txt,404,0
ghall2.dentistry.dal.ca,/pub/winvn/readme.txt,404,0
dialup97-124.swipnet.se,/shuttle/resources/orbiters/discovery.gif,404,0
stuckeyj.tulsa.k12.ok.us,/pub/winvn/readme.txt,404,0
vagrant.vf.mmc.com,/elv/DELTA/uncons.htm,404,0
194.166.7.30,/pub/winvn/release.txt,404,0
194.166.7.30,/pub/winvn/readme.txt,404,0
163.205.180.58,/usopenofsurfing.com/florida,404,0
